ID,identifier,title,createdAt,createdBy
aed40a69-36cd-f509-74dd-80d70dc36c23,1,SAAF & KHAAS,2023-06-25T12:00:00Z,administrator@tester.com
36a55cc2-73f9-1617-9ee0-155f993b5db0,2,APPLE,2023-06-25T12:00:00Z,administrator@tester.com
e59c97f4-5023-769f-cb78-a5b1bf714b6a,3,SAMSUNG,2023-06-25T12:00:00Z,administrator@tester.com
5c0d0783-89d7-34b4-13df-152c31c38297,4,OPPO,2023-06-25T12:00:00Z,administrator@tester.com
91227e97-31a2-24d7-aba8-59c8e48f760a,5,HUAWEI,2023-06-25T12:00:00Z,administrator@tester.com
8c9755da-4407-1fe4-0711-eace4c45d474,6,MICROSOFT SURFACE,2023-06-25T12:00:00Z,administrator@tester.com
0483927e-0907-17e6-5a38-7d9b8e524518,7,INFINIX,2023-06-25T12:00:00Z,administrator@tester.com
a2855b9e-19e4-1589-304f-a0e214bdeab7,8,HP PAVILION,2023-06-25T12:00:00Z,administrator@tester.com
de37803b-a5b7-9f53-e62c-94fd9c72f8bd,9,IMPRESSION OF ACQUA DI GIO,2023-06-25T12:00:00Z,administrator@tester.com
468f6369-9dce-7017-7f73-1818ace22630,10,ROYAL MIRAGE,2023-06-25T12:00:00Z,administrator@tester.com
c611e78f-87cd-7a23-9584-b82b275cdf41,11,FOG SCENT XPRESSIO,2023-06-25T12:00:00Z,administrator@tester.com
958cf082-ab30-2890-4dcd-4bb424d3a763,12,AL MUNAKH,2023-06-25T12:00:00Z,administrator@tester.com
d3e8ca5b-ce5c-cef2-80ec-eacd9109c01e,13,LORD - AL-REHAB,2023-06-25T12:00:00Z,administrator@tester.com
c4c4b90e-d369-90d7-87c6-45d12d1af8ad,14,AMNAMART,2023-06-25T12:00:00Z,administrator@tester.com
932d42ef-0b2b-1a16-83b1-1138f7b10718,15,HEMANI TEA,2023-06-25T12:00:00Z,administrator@tester.com
33866c8e-91e0-8b09-c0ef-d96310f31653,16,DERMIVE,2023-06-25T12:00:00Z,administrator@tester.com
8fc12f29-c3ce-dc12-de2b-46bb67601b25,17,ROREC WHITE RICE,2023-06-25T12:00:00Z,administrator@tester.com
921fc708-0236-e375-19d9-a07c444ac848,18,FAIR & CLEAR,2023-06-25T12:00:00Z,administrator@tester.com
ba2a0a97-5780-f8d8-0971-9737eec6134f,19,KITCHEN SHELF,2023-06-25T12:00:00Z,administrator@tester.com
84802eed-898c-1fba-afbd-ca52bca0269f,20,BAKE PARLOR BIG,2023-06-25T12:00:00Z,administrator@tester.com
a6a6382d-cdfc-20b9-c69e-4117e09a920a,21,BAKING FOOD ITEMS,2023-06-25T12:00:00Z,administrator@tester.com
1bf670d6-a13b-bcd9-57ea-8ea5cb37252e,22,FAUJI,2023-06-25T12:00:00Z,administrator@tester.com
38a2ef06-ab2e-2a2b-de99-ced9c238ec54,23,DRY ROSE,2023-06-25T12:00:00Z,administrator@tester.com
fd23c525-0495-423a-cdda-c00fadd2768c,24,BOHO DECOR,2023-06-25T12:00:00Z,administrator@tester.com
ebdf89da-e370-55e4-e07e-739cba17b9ab,25,FLYING WOODEN,2023-06-25T12:00:00Z,administrator@tester.com
1f4b6b28-bc43-8cc0-6010-894f8419ef6a,26,LED LIGHTS,2023-06-25T12:00:00Z,administrator@tester.com
2d87f094-2384-0408-7c69-3c98d681befc,27,LUXURY PALACE,2023-06-25T12:00:00Z,administrator@tester.com
2a3c9d50-f109-4fab-338c-fe482786f400,28,GOLDEN,2023-06-25T12:00:00Z,administrator@tester.com
a13a717c-99a4-5690-c799-914bd4c94407,29,FURNITURE BED SET,2023-06-25T12:00:00Z,administrator@tester.com
025f89f2-8d83-ace4-43c1-3706411994e5,30,RATTTAN OUTDOOR,2023-06-25T12:00:00Z,administrator@tester.com
a31445e8-41ec-c2dd-fb34-2c4931589e4e,31,DADAWU,2023-06-25T12:00:00Z,administrator@tester.com
62db7404-f9c5-e90c-e2cf-dde6642994df,32,MULTI PURPOSE,2023-06-25T12:00:00Z,administrator@tester.com
d11c93ad-a165-1278-0492-bd8e625814dd,33,PROFESSIONAL WEAR,2023-06-25T12:00:00Z,administrator@tester.com
9ff1017d-d0ac-363b-681d-bdb9194d6e55,34,DIGITAL PRINTED,2023-06-25T12:00:00Z,administrator@tester.com
fad10947-7970-5839-e6c0-8cb204e955c9,35,SOFT COTTON,2023-06-25T12:00:00Z,administrator@tester.com
e1316e21-80a7-9e0b-260d-bcae68dce970,36,TOP SWEATER,2023-06-25T12:00:00Z,administrator@tester.com
9927dea1-b2c0-3051-fde8-7e04f676844e,37,RED MICKY MOUSE,2023-06-25T12:00:00Z,administrator@tester.com
ecfcb2ef-5eae-9f88-f2b6-5a53b26c7704,38,GHAZI FABRIC,2023-06-25T12:00:00Z,administrator@tester.com
3b699f72-747a-a6e8-d0ea-442a271fc87d,39,IELGY,2023-06-25T12:00:00Z,administrator@tester.com
0dd7fdcc-8f39-7d5f-7417-3ac5f236ced0,40,IELGY FASHION,2023-06-25T12:00:00Z,administrator@tester.com
803b0152-1846-4dd4-b547-bcd961eac50c,41,SYNTHETIC LEATHER,2023-06-25T12:00:00Z,administrator@tester.com
